WN;BRI1_1C;BRI1_1E;BRI1_2C;BRI1_2E;BRI1_3C;BRI1_3E;BRI1_4C;BRI1_4E;BRI1_5C;BRI1_5E;BRI2_1C;BRI2_1E;BRI2_1RC ;BRI2_1RE;BRI2_2C;BRI2_2E;BRI2_3C;BRI2_3E;BRI2_4C;BRI2_4E;BRI2_5C;BRI2_5E;BRI3_1C;BRI3_1E;BRI3_2C;BRI3_2E;BRI3_3C;BRI3_3E;BRI3_4C;BRI3_4E;BRI3_5C;BRI3_5E
477,099243;0,118255;0,169144;0,10473;0,131784;0,113338;0,147894;0,126057;0,100586;0,104803;0,148633;0,103585;0,144336;0,089982;0,137367;0,127016;0,166981;0,129004;0,14989;0,118417;0,133065;0,107435;0,165243;0,11744;0,15217;0,137223;0,1544;0,126427;0,152126;0,125354;0,140791;0,0795;0,158441
478,962912;0,118404;0,169707;0,10461;0,132421;0,113036;0,147935;0,125537;0,100681;0,104377;0,148851;0,104387;0,144546;0,090408;0,137419;0,125747;0,167028;0,129723;0,149902;0,118578;0,133774;0,107357;0,165874;0,11662;0,153016;0,137434;0,155223;0,126286;0,152504;0,126041;0,141509;0,079288;0,158538
480,826581;0,11875;0,170393;0,104526;0,13301;0,112659;0,148004;0,12531;0,100856;0,104035;0,149024;0,105477;0,145014;0,09101;0,137619;0,124009;0,16693;0,130561;0,149926;0,118604;0,13448;0,107098;0,166935;0,115779;0,154077;0,137554;0,1564;0,126391;0,152901;0,12676;0,142335;0,079136;0,158711
482,69025;0,119282;0,171222;0,10472;0,133591;0,112656;0,148252;0,125614;0,101037;0,103896;0,149402;0,106558;0,145745;0,091636;0,138144;0,123328;0,16707;0,131342;0,150148;0,118855;0,135205;0,10699;0,168295;0,115721;0,155145;0,137868;0,157546;0,127024;0,153344;0,127508;0,143114;0,07933;0,159146
484,553919;0,120068;0,17238;0,105398;0,134375;0,113372;0,14894;0,126508;0,101285;0,104077;0,150276;0,107442;0,146803;0,09221;0,139166;0,124542;0,167914;0,132073;0,15082;0,11968;0,136113;0,107335;0,169892;0,116904;0,156166;0,138636;0,15847;0,128276;0,154017;0,128367;0,143909;0,079971;0,160115
486,417588;0,121194;0,17407;0,106598;0,135575;0,114852;0,150248;0,127834;0,101759;0,104595;0,151803;0,108141;0,148265;0,092774;0,140722;0,127249;0,169719;0,132935;0,152118;0,121164;0,137364;0,108216;0,17171;0,119135;0,157228;0,139928;0,159303;0,129987;0,155151;0,12943;0,144949;0,080914;0,161798
488,281257;0,122653;0,176333;0,108157;0,137229;0,116808;0,152112;0,129306;0,102599;0,105346;0,153903;0,108828;0,150139;0,09345;0,142654;0,130141;0,17236;0,134127;0,154014;0,123066;0,138985;0,109472;0,173706;0,121702;0,158463;0,141591;0,160385;0,131825;0,156879;0,130728;0,146436;0,081885;0,164119
490,144926;0,124297;0,179002;0,1098;0,139168;0,118787;0,154232;0,130677;0,103813;0,106158;0,156291;0,1097;0,152322;0,094344;0,144686;0,131958;0,175373;0,135711;0,156273;0,124964;0,140839;0,11081;0,175769;0,123833;0,159954;0,143364;0,162024;0,133478;0,159139;0,132199;0,148386;0,082679;0,166756
492,008595;0,125899;0,181817;0,111298;0,141126;0,120421;0,156265;0,131883;0,105265;0,106905;0,158638;0,110855;0,154642;0,095466;0,146586;0,132367;0,178225;0,137551;0,158592;0,126532;0,14273;0,112002;0,177772;0,125167;0,161713;0,145057;0,164294;0,134826;0,161706;0,133741;0,150594;0,083299;0,169314
493,872263;0,127308;0,184616;0,112589;0,142928;0,121616;0,158074;0,133076;0,106766;0,107591;0,160759;0,112249;0,15698;0,096716;0,148315;0,132151;0,180626;0,139422;0,160785;0,127738;0,144544;0,113016;0,179682;0,125927;0,16373;0,146674;0,167013;0,136;0,164317;0,135288;0,152777;0,083931;0,17156
